region_id,date,lat,lon,ValidFrac_Land,ValidPixCount,LandPixCount,WaterFrac_Valid,WaterPixCount,WaterFrac_Valid_NoPerm,WaterPixCount_NoPerm,NDWI_mean,DSWE_mean,n_scenes,CC_min,CC_med,ROI_ValidFrac,ROI_ValidPix
19.0,2019-09-11,9.450044339506865,-13.450061524089884,0.15697987276078107,21606.86666666667,137641,0.278969957081545,6027.666666666666,0.278969957081545,6027.666666666666,-0.36639590677645784,0.8932222163941709,1,,,0.20177836191051243,1353408.588235295
20.0,2019-09-11,9.450044339507972,-13.350061066661814,0.004058868118269025,558.6666666666669,137641,0.051909307875894976,29.000000000000004,0.051909307875894976,29.000000000000004,-0.5421750106279005,0.1205250596658711,1,,,0.20177836191051243,1353408.588235295
21.0,2019-09-11,9.450044339508981,-13.250060609237499,1.6225785436994295E-4,22.333333333333318,137641,0.0,0.0,0.0,0.0,-0.5947152072210141,0.0,1,,,0.20177836191051243,1353408.588235295
22.0,2019-09-11,9.45004433950805,-13.150060151803617,0.12301564271133872,16931.996078431373,137641,0.0030120488903824963,51.0,0.0030120488903824963,51.0,-0.6895747900233741,0.007736831463531512,1,,,0.20177836191051243,1353408.588235295
23.0,2019-09-11,9.450044339509153,-13.050059694379435,2.7556768524426487E-4,37.92941176470586,137641,0.0,0.0,0.0,0.0,-0.7094852234608041,0.0,1,,,0.20177836191051243,1353408.588235295
24.0,2019-09-11,9.550044806843792,-13.750062896373317,0.019112037837562938,2630.6000000000004,137641,0.9780024835905623,2572.7333333333336,0.9780024835905623,2572.7333333333336,0.6254952274838196,3.480650802098381,1,,,0.20177836191051243,1353408.588235295
25.0,2019-09-11,9.550044806845008,-13.65006243894893,0.10437131776883057,14365.772549019608,137641,0.36304347588713043,5215.400000000001,0.36304347588713043,5215.400000000001,-0.03440154576256734,1.3025172577957627,1,,,0.20177836191051243,1353408.588235295
26.0,2019-09-11,9.550044806846227,-13.550061981519118,0.18120054002377026,24940.62352941176,137641,0.2926951682419374,7299.999999999999,0.2926951682419374,7299.999999999999,-0.3131647471267096,0.974984980012922,1,,,0.20177836191051243,1353408.588235295
27.0,2019-09-11,9.55004480684644,-13.450061524090135,0.4217071948038738,58044.2,137641,0.1438007587321386,8346.8,0.1438007587321386,8346.8,-0.4446951855238085,0.5017555586949256,1,,,0.20177836191051243,1353408.588235295
28.0,2019-09-11,9.550044806845966,-13.35006106666091,0.06607575746567762,9094.733333333334,137641,0.011875004581406088,108.0,0.011875004581406088,108.0,-0.6066818321387939,0.02371335791410413,1,,,0.20177836191051243,1353408.588235295
29.0,2019-09-11,9.550044806845282,-13.25006060923807,0.06182653908840147,8509.866666666667,137641,1.1751065429932314E-4,1.0,1.1751065429932314E-4,1.0,-0.6868983964738242,2.3502130859864628E-4,1,,,0.20177836191051243,1353408.588235295
