Region_ID,Date,lat_x,lon_x,ValidFrac_Land,ValidPixCount,LandPixCount,WaterFrac_Valid,WaterPixCount,WaterFrac_Valid_NoPerm,WaterPixCount_NoPerm,NDWI_mean,DSWE_mean,n_scenes,CC_min,CC_med,ROI_ValidFrac,ROI_ValidPix,lat_y,lon_y,Precip_mm,rain_sum_7,rain_sum_15,rain_sum_30,rain_sum_60,rain_sum_90,rain_days_7
50,2003-05-02,9.850046208496329,-13.550061981521557,0.3870477489678675,53273.63921568626,137641,0.0135151270046518,720.0,0.0135151270046518,720.0,-0.5292968875827558,0.0428542152105835,2,21.0,21.0,0.4665599575151274,3129405.1921568806,9.850046208496329,-13.550061981521557,8.034069089490004,22.249044010376196,43.91884610138419,94.65055366993624,100.60407724445852,101.24131571393136,5.0
51,2003-05-02,9.850046208495952,-13.450061524088676,0.1243103435749522,17110.200000000004,137641,0.0015780061016235,27.0,0.0015780061016235,27.0,-0.4610652595242098,0.0017533401129151,2,21.0,21.0,0.4665599575151274,3129405.1921568806,9.850046208495952,-13.450061524088676,9.828671811419554,37.13972409996913,55.3746008508611,108.54403221995312,117.97380484854969,118.69284324239615,6.0
52,2003-05-02,9.850046208495874,-13.350061066661818,0.0482414396873024,6640.000000000001,137641,0.0,0.0,0.0,0.0,-0.4893212002988397,0.0,2,21.0,21.0,0.4665599575151274,3129405.1921568806,9.850046208495874,-13.350061066661818,11.624358592825956,75.65281083617137,100.07380034856084,148.52936299533326,172.75347504979166,175.09972397129658,7.0
53,2003-05-02,9.850046208496464,-13.250060609236671,0.2466553584766052,33949.89019607842,137641,0.0,0.0,0.0,0.0,-0.4453886152234011,0.0,2,21.0,21.0,0.4665599575151274,3129405.1921568806,9.850046208496464,-13.250060609236671,13.520300386744566,120.59901011917518,153.81587475619796,196.03531261921603,238.10340687846931,242.5791956473482,7.0
54,2003-05-02,9.850046208495256,-13.150060151805132,0.702978407454117,96758.65098039212,137641,0.0,0.0,0.0,0.0,-0.4980113128204048,0.0,2,21.0,21.0,0.4665599575151274,3129405.1921568806,9.850046208495256,-13.150060151805132,15.05985110838992,155.96281559947656,197.35552642575982,234.92897873759944,294.09011770254165,299.96961820762283,7.0
55,2003-05-02,9.850046208495671,-13.05005969437859,0.0010054858540069,138.39607843137236,137641,0.0,0.0,0.0,0.0,-0.5059142343143499,0.0,2,21.0,21.0,0.4665599575151274,3129405.1921568806,9.850046208495671,-13.05005969437859,17.019778488474913,167.9295302349677,219.03405331156733,262.3226439023085,338.22414409583604,342.4471793685449,7.0
56,2003-05-02,9.950046675592342,-13.750062896373633,0.0816629108033387,11240.164705882356,137641,0.0009796800130624005,11.011764705882356,0.0009796800130624005,11.011764705882356,-0.3878721015576434,0.003687406715832,2,21.0,21.0,0.4665599575151274,3129405.1921568806,9.950046675592342,-13.750062896373633,4.568964241343565,6.254783922767132,43.151998818736104,89.55721570194441,91.86524842148813,92.69099403064374,3.0
57,2003-05-02,9.950046675591777,-13.650062438947748,0.412161817379141,56730.36470588236,137641,0.1242995849025901,7051.560784313725,0.1243352541499544,7053.58431372549,-0.3908099995551537,0.383577270200701,2,21.0,21.0,0.4665599575151274,3129405.1921568806,9.950046675591777,-13.650062438947748,6.248518822985716,14.761752540206402,49.21113319776538,102.43284994751889,105.22275269245895,105.93122616301898,4.0
58,2003-05-02,9.950046675594129,-13.55006198152084,0.1917977871105722,26399.239215686277,137641,0.0,0.0,0.0,0.0,-0.5249506223991489,0.0,2,21.0,21.0,0.4665599575151274,3129405.1921568806,9.950046675594129,-13.55006198152084,8.206896482306547,25.36323210034297,54.24751520238402,113.11767170221287,116.50485396599564,117.0669049013746,5.0
59,2003-05-02,9.950046675593796,-13.450061524090115,0.0792360803345902,10906.133333333331,137641,0.0,0.0,0.0,0.0,-0.3782008720139443,0.0,2,21.0,21.0,0.4665599575151274,3129405.1921568806,9.950046675593796,-13.450061524090115,9.963408110934324,41.205306628679494,65.82691606215718,128.1915233844586,134.75300688510927,135.20105648677472,6.0
