Region_ID,Date,lon,lat,ValidFrac_Land,WaterFrac_Valid,ValidPixCount,WaterPixCount,LandPixCount,WI_mean,NDWI_mean,DSWE_mean,system:index,Precip_mm,.geo,rain_sum_7,rain_sum_15,rain_sum_30,rain_sum_60,rain_sum_90,rain_days_7
7,2015-02-04,-13.5,9.5,0.9789612722876008,0.0469778100957627,843065.7843137253,39605.384313725495,861184,-0.3556694675415078,-0.4764756989856109,0.1317500099717755,34_4,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.05108024924993505,0.21216832101345035,0.2174945548176761,0.21749641746282533,0.21749641746282533,0.0
12,2015-02-04,-13.5,9.75,0.9791329953198732,0.0001367722106782911,842305.0340218927,115.20392156862744,860256,-0.4934061421408682,-0.5266664752076645,0.00024496729643534205,34_5,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.055497512221336254,0.06138253957033134,0.07507950067520111,0.07508136332035034,0.07508136332035034,0.0
3,2015-02-04,-13.25,9.25,0.9662362375166672,0.0353517482813363,831210.5207411381,29384.745098039217,860256,-0.4127008801782413,-0.5384791840074137,0.0975724529843087,34_6,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.006453134119510556,0.3548022359609601,0.356539152562618,0.3565410152077672,0.3565410152077672,0.0
8,2015-02-04,-13.25,9.5,0.9792166753369004,5.2028047042245984e-05,843285.7333333333,43.87450980392157,861184,-0.5025297016808458,-0.572066691587508,6.848096359886614e-05,34_7,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.016551464796066156,1.3129226863384242,1.3154093176126476,1.3154111802577968,1.3154111802577968,0.0
13,2015-02-04,-13.25,9.75,0.979388430223218,0.00091748044019281,842524.7734301047,773.0,860256,-0.5028666479889804,-0.5376684509094275,0.0013219900902911,34_8,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.03497023135423646,1.12317968159914,1.128827221691608,1.1288290843367572,1.1288290843367572,0.0
4,2015-02-04,-13.0,9.25,0.9821274331250384,0.0011364070439373,843970.5849799061,959.0941176470589,859329,-0.4995214755126897,-0.6056437387567227,0.0011527652484781,34_9,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",2.3283064365386963e-05,1.3959528878331182,1.3971179723739622,1.3971198350191114,1.3971198350191114,0.0
9,2015-02-04,-13.0,9.5,0.980565393028468,0.00011617744031968614,843537.2627450977,98.0,860256,-0.4984463702848068,-0.5714504129167797,0.00011617744031968614,34_10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.006193295121192856,1.6822852194309232,1.6831755638122556,1.6831774264574049,1.6831774264574049,0.0
14,2015-02-04,-13.0,9.75,0.980741642086394,0.0027444893430289,842779.7345524589,2313.0,859329,-0.510969642627971,-0.5515503269068284,0.0062461463313707,34_11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.016771256923675357,0.4132501780986783,0.41511841118335696,0.4151202738285062,0.4151202738285062,0.0
5,2015-02-04,-12.75,9.25,0.9811651461823004,0.0016692424187212,844053.203994201,1408.929411764706,860256,-0.4744908975472801,-0.51693831897878,0.0017209484470825,34_12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.006164424121379816,0.6888508796691891,0.6888723000884053,0.6888741627335545,0.6888741627335545,0.0
10,2015-02-04,-12.75,9.5,0.9795537885264508,0.0019617371903342,843576.049818363,1654.8745098039217,861184,-0.4724700154833999,-0.4895573461329688,0.0021626344735283,34_13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.002785585820674853,0.6657904013991354,0.6658118218183515,0.6658136844635008,0.6658136844635008,0.0
